id|name|age|gender|address|email|contact_no
std0091|Thamu Karki|21|Female|Butwal|thamu.karki874@college.edu.np|9861328798
std0092|Bikash Hamal|20|Male|Bhaktapur|bikash.hamal655@college.edu.np|9878722731
std0093|Sunita Gautam|19|Female|Mustang|sunita.gautam167@college.edu.np|9892367772
std0094|Yamuna Sharma|19|Female|Dang|yamuna.sharma377@college.edu.np|9896769292
std0095|Tek Ojha|19|Male|Taplejung|tek.ojha85@college.edu.np|9829324584
std0096|Parbati Dhakal|18|Female|Biratnagar|parbati.dhakal754@college.edu.np|9859788024
std0097|Rakesh Joshi|22|Male|Butwal|rakesh.joshi796@college.edu.np|9865113563
std0098|Gita Ojha|22|Female|Mustang|gita.ojha261@college.edu.np|9898462917
std0099|Bibek Chaudhary|23|Male|Mustang|bibek.chaudhary502@college.edu.np|9844244249
std0100|Sabina Acharya|23|Female|Hetauda|sabina.acharya871@college.edu.np|9888985550
std0101|Chanda Vaidya|24|Female|Janakpur|chanda.vaidya261@college.edu.np|9811721398
std0102|Indira Rai|18|Female|Dharan|indira.rai701@college.edu.np|9874803842
std0103|Bijay Hamal|18|Male|Butwal|bijay.hamal585@college.edu.np|9819734852
std0104|Hira Gurung|21|Female|Nepalgunj|hira.gurung101@college.edu.np|9876181174
std0105|Laxmi Basnet|22|Female|Banke|laxmi.basnet508@college.edu.np|9856440606
std0106|Priya Baral|23|Female|Butwal|priya.baral525@college.edu.np|9848077845
std0107|Santosh Luitel|17|Male|Solukhumbu|santosh.luitel825@college.edu.np|9829242990
std0108|Alisha Dhakal|25|Female|Dharan|alisha.dhakal65@college.edu.np|9831609312
std0109|Ishwor Tamang|18|Male|Itahari|ishwor.tamang324@college.edu.np|9829344143
std0110|Dipak Acharya|21|Male|Bhaktapur|dipak.acharya626@college.edu.np|9873111286
std0111|Vasana Sapkota|23|Female|Kavre|vasana.sapkota870@college.edu.np|9878527553
std0112|Omila Yadav|19|Female|Hetauda|omila.yadav398@college.edu.np|9876549550
std0113|Subash Oli|25|Male|Dharan|subash.oli293@college.edu.np|9856233486
std0114|Niraj Koirala|18|Male|Gorkha|niraj.koirala795@college.edu.np|9884575608
std0115|Sita Rai|18|Female|Janakpur|sita.rai210@college.edu.np|9874649102
std0116|Kalpana Chaudhary|19|Female|Janakpur|kalpana.chaudhary425@college.edu.np|9820121066
std0117|Sunita Koirala|25|Female|Janakpur|sunita.koirala496@college.edu.np|9815813235
std0118|Bimal Prasad|21|Male|Biratnagar|bimal.prasad287@college.edu.np|9874291452
std0119|Rabindra Ghimire|17|Male|Pokhara|rabindra.ghimire623@college.edu.np|9878525079
std0120|Anil Khadka|19|Male|Pokhara|anil.khadka346@college.edu.np|9838992286
std0121|Durga Regmi|19|Female|Chitwan|durga.regmi335@college.edu.np|9841604130
std0122|Aarav Chaudhary|25|Male|Butwal|aarav.chaudhary36@college.edu.np|9868134092
std0123|Bibek Bhattarai|17|Male|Mustang|bibek.bhattarai604@college.edu.np|9852665366
std0124|Padam Rai|18|Male|Nepalgunj|padam.rai688@college.edu.np|9855701413
std0125|Dinesh Joshi|20|Male|Biratnagar|dinesh.joshi420@college.edu.np|9898593681
std0126|Pooja Magar|19|Female|Jumla|pooja.magar242@college.edu.np|9873150906
std0127|Padam Gautam|23|Male|Bhaktapur|padam.gautam48@college.edu.np|9878249822
std0128|Nabin Luitel|25|Male|Jumla|nabin.luitel623@college.edu.np|9878904100
std0129|Nirmal Pandey|24|Male|Dharan|nirmal.pandey56@college.edu.np|9839443836
std0130|Padma Aryal|25|Female|Pokhara|padma.aryal759@college.edu.np|9897258703
std0131|Pradeep Poudel|24|Male|Damak|pradeep.poudel881@college.edu.np|9883506264
std0132|Barsha Khadka|21|Female|Itahari|barsha.khadka867@college.edu.np|9850518574
std0133|Kiran Koirala|20|Male|Dang|kiran.koirala463@college.edu.np|9870213544
std0134|Niraj Neupane|17|Male|Kathmandu|niraj.neupane286@college.edu.np|9831312272
std0135|Prakash Luitel|24|Male|Damak|prakash.luitel770@college.edu.np|9876156354
std0136|Umesh Khadka|18|Male|Damak|umesh.khadka291@college.edu.np|9815373105
std0137|Sushma Chaudhary|25|Female|Dharan|sushma.chaudhary549@college.edu.np|9819750437
std0138|Omila Prasad|22|Female|Hetauda|omila.prasad313@college.edu.np|9842472570
std0139|Alisha Koirala|19|Female|Makwanpur|alisha.koirala384@college.edu.np|9876320350
std0140|Yogesh Baral|23|Male|Damak|yogesh.baral687@college.edu.np|9891670127
std0141|Gokul Neupane|22|Male|Makwanpur|gokul.neupane126@college.edu.np|9869773146
std0142|Ankit Sapkota|24|Male|Banke|ankit.sapkota548@college.edu.np|9887141416
std0143|Aashish Poudel|24|Male|Biratnagar|aashish.poudel453@college.edu.np|9832318777
std0144|Niraj Adhikari|25|Male|Dharan|niraj.adhikari577@college.edu.np|9856931561
std0145|Suman Sapkota|23|Male|Dharan|suman.sapkota796@college.edu.np|9823674824
std0146|Omila Luitel|20|Female|Hetauda|omila.luitel143@college.edu.np|9851396765
std0147|Anil Sapkota|25|Male|Nepalgunj|anil.sapkota433@college.edu.np|9888639933
std0148|Umesh Baral|25|Male|Kavre|umesh.baral670@college.edu.np|9899274158
std0149|Nirmala Shrestha|21|Female|Dang|nirmala.shrestha659@college.edu.np|9819189650
std0150|Nirmal Adhikari|24|Male|Pokhara|nirmal.adhikari425@college.edu.np|9826570566
std0151|Parbati Karki|24|Female|Jumla|parbati.karki243@college.edu.np|9835903342
std0152|Alisha Thapa|24|Female|Gorkha|alisha.thapa230@college.edu.np|9828488755
std0153|Dinesh Basnet|18|Male|Dharan|dinesh.basnet422@college.edu.np|9846942713
std0154|Vasana Limbu|20|Female|Chitwan|vasana.limbu905@college.edu.np|9871184749
std0155|Mina Koirala|22|Female|Dharan|mina.koirala524@college.edu.np|9835503254
std0156|Anisha Pandey|25|Female|Butwal|anisha.pandey568@college.edu.np|9823444843
std0157|Lina Oli|19|Female|Jumla|lina.oli354@college.edu.np|9882420345
std0158|Sabita Regmi|19|Female|Dang|sabita.regmi702@college.edu.np|9867967444
std0159|Gokul Thapa|24|Male|Jumla|gokul.thapa194@college.edu.np|9843013591
std0160|Deepa Rai|25|Female|Sindhupalchok|deepa.rai625@college.edu.np|9828501305
std0161|Niraj Prasad|17|Male|Pokhara|niraj.prasad531@college.edu.np|9835445189
std0162|Ganesh Tiwari|24|Male|Pokhara|ganesh.tiwari576@college.edu.np|9874703674
std0163|Bishal Regmi|18|Male|Birgunj|bishal.regmi801@college.edu.np|9826241413
std0164|Mamata Koirala|23|Female|Bhaktapur|mamata.koirala849@college.edu.np|9885279760
std0165|Pradeep Karki|17|Male|Gorkha|pradeep.karki672@college.edu.np|9812965519
std0166|Mohan Acharya|25|Male|Jumla|mohan.acharya559@college.edu.np|9859323803
std0167|Dipa Vaidya|19|Female|Birgunj|dipa.vaidya338@college.edu.np|9877135293
std0168|Nirmala Baral|20|Female|Makwanpur|nirmala.baral305@college.edu.np|9816023971
std0169|Ishwori Bhandari|24|Female|Hetauda|ishwori.bhandari205@college.edu.np|9881465567
std0170|Hari Acharya|22|Male|Nuwakot|hari.acharya602@college.edu.np|9881187971
std0171|Aarav Wagle|22|Male|Butwal|aarav.wagle662@college.edu.np|9854509375
std0172|Kiran Acharya|22|Male|Hetauda|kiran.acharya201@college.edu.np|9841963009
std0173|Manju Magar|20|Female|Janakpur|manju.magar378@college.edu.np|9875428104
std0174|Babita Acharya|20|Female|Janakpur|babita.acharya973@college.edu.np|9858261721
std0175|Rohan Regmi|20|Male|Biratnagar|rohan.regmi565@college.edu.np|9843008233
std0176|Niraj Gautam|17|Male|Nepalgunj|niraj.gautam994@college.edu.np|9879569349
std0177|Kamal Pandey|25|Male|Jumla|kamal.pandey11@college.edu.np|9838798415
std0178|Aarti Limbu|24|Female|Mustang|aarti.limbu114@college.edu.np|9829157424
std0179|Champa Upreti|24|Female|Biratnagar|champa.upreti909@college.edu.np|9887134672
std0180|Omila Ojha|23|Female|Nepalgunj|omila.ojha224@college.edu.np|9896652945
std0181|Sarita Basnet|22|Female|Taplejung|sarita.basnet329@college.edu.np|9828122243
std0182|Mamata Ghimire|18|Female|Mustang|mamata.ghimire229@college.edu.np|9833363128
std0183|Kopila Upreti|25|Female|Hetauda|kopila.upreti877@college.edu.np|9826806133
std0184|Nabin Basnet|23|Male|Biratnagar|nabin.basnet731@college.edu.np|9864560946
std0185|Nisha Limbu|23|Female|Dang|nisha.limbu491@college.edu.np|9863469444
std0186|Omila Acharya|21|Female|Nuwakot|omila.acharya419@college.edu.np|9810498916
std0187|Pooja Neupane|25|Female|Dang|pooja.neupane667@college.edu.np|9825046611
std0188|Priya Pandey|23|Female|Butwal|priya.pandey655@college.edu.np|9870810006
std0189|Kedar Chaudhary|24|Male|Biratnagar|kedar.chaudhary560@college.edu.np|9893392286
std0190|Sita Thapa|25|Female|Banke|sita.thapa409@college.edu.np|9848710316
std0191|Ishwor Yadav|20|Male|Nuwakot|ishwor.yadav13@college.edu.np|9823751044
std0192|Rita Magar|21|Female|Makwanpur|rita.magar240@college.edu.np|9826506931
std0193|Tanka Baral|22|Male|Makwanpur|tanka.baral297@college.edu.np|9832342505
std0194|Manju Chaudhary|19|Female|Bhaktapur|manju.chaudhary999@college.edu.np|9815852276
std0195|Omila Regmi|21|Female|Makwanpur|omila.regmi165@college.edu.np|9852515857
std0196|Naresh Magar|17|Male|Itahari|naresh.magar499@college.edu.np|9874147485
std0197|Chanda Regmi|24|Female|Dharan|chanda.regmi891@college.edu.np|9818488827
std0198|Dhan Pandey|24|Male|Birgunj|dhan.pandey788@college.edu.np|9860949196
std0199|Bijay Gurung|23|Male|Sindhupalchok|bijay.gurung486@college.edu.np|9854865454
std0200|Aashish Tiwari|22|Male|Solukhumbu|aashish.tiwari801@college.edu.np|9856964631
std0201|Sabita Shrestha|18|Female|Hetauda|sabita.shrestha570@college.edu.np|9893269931
std0202|Nirmal Acharya|18|Male|Birgunj|nirmal.acharya484@college.edu.np|9855445620
std0203|Rabin Sapkota|20|Male|Makwanpur|rabin.sapkota868@college.edu.np|9868480157
std0204|Kamal Gautam|18|Male|Solukhumbu|kamal.gautam340@college.edu.np|9823127502
std0205|Shyam Khadka|21|Male|Dharan|shyam.khadka664@college.edu.np|9819806012
std0206|Kedar Shrestha|20|Male|Makwanpur|kedar.shrestha61@college.edu.np|9842467968
std0207|Farmila Acharya|24|Female|Damak|farmila.acharya382@college.edu.np|9851129620
std0208|Pooja Baral|23|Female|Pokhara|pooja.baral728@college.edu.np|9845472632
std0209|Fulmaya Tiwari|17|Female|Lalitpur|fulmaya.tiwari764@college.edu.np|9852404305
std0210|Alisha Basnet|20|Female|Butwal|alisha.basnet952@college.edu.np|9876483147
std0211|Narayan Chaudhary|23|Male|Hetauda|narayan.chaudhary557@college.edu.np|9811140549
std0212|Kopila Rijal|23|Female|Hetauda|kopila.rijal709@college.edu.np|9890981000
std0213|Ekta Pandey|17|Female|Damak|ekta.pandey588@college.edu.np|9840961050
std0214|Rabin Basnet|25|Male|Itahari|rabin.basnet190@college.edu.np|9864779454
std0215|Mina Gurung|20|Female|Kavre|mina.gurung900@college.edu.np|9892660362
std0216|Aashish Gurung|23|Male|Pokhara|aashish.gurung415@college.edu.np|9814857894
std0217|Ishwor Koirala|20|Male|Kavre|ishwor.koirala317@college.edu.np|9897442434
std0218|Biraj Hamal|21|Male|Nepalgunj|biraj.hamal953@college.edu.np|9884809458
std0219|Laxman Acharya|21|Male|Pokhara|laxman.acharya280@college.edu.np|9862055494
std0220|Rekha Prasad|17|Female|Banke|rekha.prasad845@college.edu.np|9889598048
std0221|Kamala Yadav|25|Female|Kathmandu|kamala.yadav609@college.edu.np|9864738168
std0222|Mamata Pandey|17|Female|Bhaktapur|mamata.pandey989@college.edu.np|9831113734
std0223|Urmila Pandey|25|Female|Nepalgunj|urmila.pandey18@college.edu.np|9859099009
std0224|Sanju Oli|18|Female|Butwal|sanju.oli821@college.edu.np|9897910898
std0225|Dipak Upreti|23|Male|Nepalgunj|dipak.upreti946@college.edu.np|9857737334
std0226|Rakesh Vaidya|18|Male|Gorkha|rakesh.vaidya255@college.edu.np|9834763504
std0227|Kriti Limbu|24|Female|Pokhara|kriti.limbu707@college.edu.np|9872584289
std0228|Sunil Regmi|23|Male|Kathmandu|sunil.regmi788@college.edu.np|9814273674
std0229|Naresh Acharya|21|Male|Dang|naresh.acharya631@college.edu.np|9840627453
std0230|Omila Upreti|19|Female|Jumla|omila.upreti717@college.edu.np|9877110635
std0231|Jagat Ojha|21|Male|Butwal|jagat.ojha489@college.edu.np|9843568375
std0232|Dhan Prasad|18|Male|Butwal|dhan.prasad583@college.edu.np|9885045664
std0233|Hari Gautam|23|Male|Taplejung|hari.gautam487@college.edu.np|9829074665
std0234|Urmila Poudel|20|Female|Biratnagar|urmila.poudel420@college.edu.np|9859068281
std0235|Wangmo Tamang|25|Female|Kavre|wangmo.tamang398@college.edu.np|9895441632
std0236|Durga Bhandari|21|Female|Biratnagar|durga.bhandari887@college.edu.np|9813775962
std0237|Sunita Yadav|23|Female|Dang|sunita.yadav745@college.edu.np|9889879315
std0238|Niraj Ojha|25|Male|Dharan|niraj.ojha591@college.edu.np|9847736624
std0239|Anjali Ghimire|23|Female|Pokhara|anjali.ghimire868@college.edu.np|9843202997
std0240|Niraj Dhakal|25|Male|Chitwan|niraj.dhakal79@college.edu.np|9835339890
std0241|Jyoti Magar|23|Female|Butwal|jyoti.magar777@college.edu.np|9840654454
std0242|Binod Gurung|24|Male|Itahari|binod.gurung477@college.edu.np|9896085413
std0243|Kiran Oli|17|Male|Jumla|kiran.oli493@college.edu.np|9892871755
std0244|Kriti Oli|20|Female|Pokhara|kriti.oli144@college.edu.np|9824055710
std0245|Wangmo Bhattarai|18|Female|Butwal|wangmo.bhattarai647@college.edu.np|9811276342
std0246|Rohan Thapa|18|Male|Lalitpur|rohan.thapa870@college.edu.np|9883783500
std0247|Sanju Tamang|25|Female|Lalitpur|sanju.tamang402@college.edu.np|9875576210
std0248|Dinesh Poudel|22|Male|Biratnagar|dinesh.poudel564@college.edu.np|9883997060
std0249|Yogesh Ojha|21|Male|Nuwakot|yogesh.ojha936@college.edu.np|9846415188
std0250|Babita Basnet|21|Female|Janakpur|babita.basnet290@college.edu.np|9866530643
std0251|Deepa Basnet|17|Female|Nuwakot|deepa.basnet963@college.edu.np|9878952839
std0252|Uddhab Khadka|21|Male|Biratnagar|uddhab.khadka166@college.edu.np|9857417443
std0253|Elina Prasad|21|Female|Butwal|elina.prasad116@college.edu.np|9818576833
std0254|Hira Upreti|19|Female|Gorkha|hira.upreti947@college.edu.np|9815914471
std0255|Farmila Upreti|23|Female|Nepalgunj|farmila.upreti730@college.edu.np|9885886208
std0256|Rakesh Karki|18|Male|Dharan|rakesh.karki435@college.edu.np|9815571718
std0257|Dinesh Rijal|23|Male|Taplejung|dinesh.rijal980@college.edu.np|9863114694
std0258|Saroj Magar|18|Male|Gorkha|saroj.magar317@college.edu.np|9831424180
std0259|Roshan Wagle|22|Male|Solukhumbu|roshan.wagle708@college.edu.np|9829244553
std0260|Rupa Basnet|25|Female|Banke|rupa.basnet230@college.edu.np|9831193053
std0261|Ramesh Gurung|25|Male|Banke|ramesh.gurung803@college.edu.np|9891702537
std0262|Sita Wagle|20|Female|Damak|sita.wagle392@college.edu.np|9867894002
std0263|Narayan Ojha|21|Male|Chitwan|narayan.ojha961@college.edu.np|9830536933
std0264|Kedar Tiwari|25|Male|Pokhara|kedar.tiwari606@college.edu.np|9870335890
std0265|Govind Acharya|25|Male|Birgunj|govind.acharya517@college.edu.np|9814514700
std0266|Tek Limbu|21|Male|Bhaktapur|tek.limbu284@college.edu.np|9827488252
std0267|Radha Bhattarai|25|Female|Bhaktapur|radha.bhattarai584@college.edu.np|9899276918
std0268|Priya Chaudhary|20|Female|Nuwakot|priya.chaudhary586@college.edu.np|9882303854
std0269|Dipa Neupane|23|Female|Dang|dipa.neupane214@college.edu.np|9879873027
std0270|Bishal Baral|18|Male|Gorkha|bishal.baral117@college.edu.np|9854597387
std0271|Vijay Neupane|25|Male|Solukhumbu|vijay.neupane225@college.edu.np|9852114700
std0272|Kiran Adhikari|23|Male|Gorkha|kiran.adhikari349@college.edu.np|9828594231
std0273|Rabin Baral|17|Male|Banke|rabin.baral451@college.edu.np|9883235954
std0274|Hari Adhikari|24|Male|Chitwan|hari.adhikari938@college.edu.np|9860026846
std0275|Niraj Hamal|18|Male|Itahari|niraj.hamal422@college.edu.np|9891537746
std0276|Samir Adhikari|21|Male|Kathmandu|samir.adhikari672@college.edu.np|9868483338
std0277|Kriti Neupane|17|Female|Biratnagar|kriti.neupane190@college.edu.np|9848829823
std0278|Dipesh Magar|25|Male|Banke|dipesh.magar674@college.edu.np|9865559257
std0279|Jamuna Subedi|21|Female|Nuwakot|jamuna.subedi252@college.edu.np|9851567260
std0280|Samir Sharma|23|Male|Nepalgunj|samir.sharma145@college.edu.np|9830031023
std0281|Suman Ghimire|23|Male|Hetauda|suman.ghimire44@college.edu.np|9851779590
std0282|Fulmaya Wagle|18|Female|Damak|fulmaya.wagle41@college.edu.np|9827745208
std0283|Sabina Upreti|24|Female|Jumla|sabina.upreti101@college.edu.np|9867330248
std0284|Hari Prasad|22|Male|Damak|hari.prasad51@college.edu.np|9880977233
std0285|Rekha Koirala|23|Female|Gorkha|rekha.koirala825@college.edu.np|9811784752
std0286|Yamuna Vaidya|24|Female|Lalitpur|yamuna.vaidya511@college.edu.np|9856194338
std0287|Narayan Aryal|22|Male|Bhaktapur|narayan.aryal187@college.edu.np|9857047490
std0288|Raju Neupane|17|Male|Kavre|raju.neupane48@college.edu.np|9832845054
std0289|Bijay Limbu|19|Male|Hetauda|bijay.limbu150@college.edu.np|9895292191
std0290|Suresh Sharma|17|Male|Itahari|suresh.sharma33@college.edu.np|9854840491
std0291|Yamuna Joshi|24|Female|Damak|yamuna.joshi684@college.edu.np|9895081122
std0292|Ishwori Prasad|18|Female|Banke|ishwori.prasad52@college.edu.np|9838932076
std0293|Sarita Gautam|24|Female|Nepalgunj|sarita.gautam612@college.edu.np|9849463586
std0294|Omila Limbu|20|Female|Hetauda|omila.limbu131@college.edu.np|9815850668
std0295|Dinesh Pandey|25|Male|Kavre|dinesh.pandey398@college.edu.np|9882679310
std0296|Dipak Poudel|17|Male|Nepalgunj|dipak.poudel930@college.edu.np|9812618696
std0297|Binod Rai|18|Male|Mustang|binod.rai329@college.edu.np|9886287669
std0298|Prakash Magar|17|Male|Banke|prakash.magar461@college.edu.np|9846745684
std0299|Tilak Prasad|21|Male|Chitwan|tilak.prasad526@college.edu.np|9859069414
std0300|Tara Basnet|22|Female|Taplejung|tara.basnet230@college.edu.np|9853109739
std0301|Sabita Sapkota|25|Female|Itahari|sabita.sapkota489@college.edu.np|9845679955
std0302|Gita Adhikari|23|Female|Mustang|gita.adhikari194@college.edu.np|9842782550
std0303|Hasina Tiwari|17|Female|Jumla|hasina.tiwari757@college.edu.np|9863087216
std0304|Sagar Acharya|21|Male|Janakpur|sagar.acharya293@college.edu.np|9856417319
std0305|Jamuna Karki|17|Female|Nuwakot|jamuna.karki748@college.edu.np|9813472062
std0306|Santosh Bhandari|19|Male|Lalitpur|santosh.bhandari286@college.edu.np|9891780725
std0307|Aarti Yadav|24|Female|Sindhupalchok|aarti.yadav845@college.edu.np|9817339413
std0308|Jamuna Shrestha|19|Female|Gorkha|jamuna.shrestha51@college.edu.np|9884943893
std0309|Biraj Thapa|17|Male|Chitwan|biraj.thapa858@college.edu.np|9854956265
